Last name,First name,Age,Gender,Address,Email,Telephone,Contact for future races,How did you hear about race,Emergency contact name,Emergency contact number
Stevenson,Dwayne,82,male,667 Haggling Dr. Hingham MA,microfiche@hotmail.com,709-5370,no,church,Clinton Martinez,539-4203
Dyer,Nicholas,22,male,547 Abstrusenesss St. Quincy MA,ingrates@hotmail.com,893-3344,no,came last year,Lance Frye,494-9941
Schroeder,Lawrence,53,male,816 Fragrances St. Norwell MA,grinders@gmail.com,,yes,,Janine Lloyd,274-6644
Gibbs,Edward,90,male,143 Belgiums St. Norwell MA,indictment@hotmail.com,741-1051,yes,,,971-6585
Johns,Juan,57,male,638 Cooping Ln. Weymouth MA,,486-3339,yes,came last year,,347-3415
Mcconnell,Olga,49,female,348 Gossiped Way Weymouth MA,,695-4871,no,a friend,Bridget Sanchez,309-3243
Clark,Freddie,0,male,,obduracys@hotmail.com,,yes,a friend,Jared Marshall,
Knapp,Ronda,87,female,,bizet@gmail.com,461-4215,yes,came last year,Nicholas Cox,241-7434
Middleton,Edwina,98,female,776 Burner Dr. Braintree MA,donated@gmail.com,945-7343,no,a friend,Ronald Trevino,613-9629
Bowen,Beverly,42,female,81 Roosts St. Hingham MA,,716-7912,no,school,,609-2775
Bentley,Anna,76,female,681 Hear Way Norwell MA,handbags@gmail.com,155-7951,yes,came last year,Althea Sutton,891-7790
Hunt,Mamie,71,female,994 Insolvencys St. Weymouth MA,phonying@hotmail.com,163-9110,yes,school,Luella Pena,591-3704
Benjamin,Nannie,37,female,512 Evian St. Hingham MA,synced@gmail.com,743-3024,,a friend,,863-2380
,Dianne,14,female,816 Nonscheduled Way Quincy MA,replies@hotmail.com,967-7274,yes,church,Tom Best,
Gill,Greta,43,female,701 Weakfish Dr. Braintree MA,cheetos@hotmail.com,113-2052,yes,,Kenneth Cantu,615-6049
Ingram,Elmer,27,male,509 Dalliances Ln. Hanover MA,hearses@gmail.com,566-5723,yes,church,Amelia Parrish,640-7784
Boyer,Marisa,54,female,868 Mortified St. Weymouth MA,trail@hotmail.com,545-9627,no,church,Betty Mckay,
Nicholson,Sidney,90,male,30 Bikinis Dr. Hanover MA,handy@gmail.com,427-1635,no,a friend,Liza Sullivan,230-9952
Chase,Elise,27,female,695 Neurology St. Hingham MA,oswald@gmail.com,489-7862,yes,church,Joe Becker,974-8328
Huber,,86,male,137 Obnoxious Pkwy. Norwell MA,foundering@hotmail.com,843-2775,yes,came last year,Shannon Cooper,
Hansen,Willie,60,female,851 Gorillas St. Weymouth MA,reebok@hotmail.com,281-1082,no,a friend,Alfreda Hale,699-8979
Pruitt,Henry,45,male,105 Acacias St. Weymouth MA,compressors@hotmail.com,228-9597,yes,a friend,Salvador Campbell,835-8047
Leblanc,Alexandra,66,female,753 Transitions Ln. Quincy MA,grimnesss@gmail.com,647-4490,,school,,112-7332
Savage,Mark,9,male,723 Administrators St. Quincy MA,,265-8787,yes,a friend,Kenneth Short,452-5004
Tate,Darryl,71,male,692 Dislocation Dr. Norwell MA,thundercloud@gmail.com,701-4214,no,,Dean Cooke,147-1958
Randall,Lawrence,72,male,83 Muds Pkwy. Hanover MA,prefers@gmail.com,345-4984,no,,Sidney Vang,195-4201
Green,Tommie,3,female,851 Trading Way Weymouth MA,mutineers@gmail.com,181-9150,yes,a friend,,697-6711
Guerra,Sasha,13,female,333 Parlay St. Hingham MA,dills@gmail.com,214-1454,yes,church,Salvador Mcmahon,919-4161
Mason,Julio,73,male,,overlooking@hotmail.com,246-8265,yes,,Louella Buckner,629-2484
Anderson,Raymond,11,male,994 Flammability St. Norwell MA,payments@hotmail.com,306-7246,yes,,Richard Elliott,
Duncan,Megan,94,female,900 Mordants Dr. Hanover MA,venally@hotmail.com,227-6264,yes,,Cathy Witt,723-4395
England,Hattie,55,female,346 Rankles Pkwy. Braintree MA,noreen@gmail.com,,yes,church,Annie Hebert,681-1284
Avila,,60,,325 Danton St. Hanover MA,tightwad@hotmail.com,643-2993,yes,came last year,Meghan Blevins,799-2535
Mendez,Ryan,3,male,624 Filibusters Pkwy. Weymouth MA,skinheads@hotmail.com,518-3467,no,school,Raul Ross,383-9910
Harris,Leon,4,male,,fruitfulnesss@hotmail.com,487-9176,yes,school,Reba Holder,
Sellers,Anastasia,29,female,239 Parachuting Way Braintree MA,sandalwood@gmail.com,396-1064,yes,,Mike Salas,861-6847
Potts,Jamie,87,male,634 Wallows St. Hanover MA,clinicians@gmail.com,493-3691,yes,a friend,Greta Koch,816-3181
Turner,Terrance,73,male,577 Invalidate St. Norwell MA,fitzpatrick@hotmail.com,303-4743,yes,,Gary Petersen,421-9731
Bradley,Gretchen,12,female,46 Gazeboes Way Norwell MA,morocco@hotmail.com,221-2386,yes,came last year,Dale Larson,405-9994
Ortiz,Sherri,51,female,20 Rightfulness Way Weymouth MA,stark@hotmail.com,174-4356,no,,Ines Callahan,761-5665
Harding,Flossie,62,female,851 Congratulations St. Quincy MA,quintuples@gmail.com,461-5698,yes,school,Marvin Patrick,251-5148
Britt,Wayne,77,male,221 Simulated Ln. Braintree MA,manicures@hotmail.com,630-6387,yes,came last year,Shane Huffman,425-7189
Kim,Mario,18,male,834 Junkies St. Norwell MA,probables@gmail.com,141-3315,no,school,Violet Hatfield,724-6372
Conway,Latisha,48,female,138 Bewilders Ln. Quincy MA,sequins@gmail.com,347-3465,yes,came last year,Brent Potter,235-9170
Mullins,,44,female,281 Atoms Dr. Norwell MA,undemanding@hotmail.com,688-4691,no,a friend,Alexander Church,616-7844
Crane,Jay,40,male,297 Mist St. Hanover MA,sours@gmail.com,818-8162,no,,George Meyer,841-6836
Waters,Ernest,56,male,937 Chopras St. Weymouth MA,heeps@gmail.com,655-6302,no,,Jack Black,204-3333
Mcneil,Louisa,42,female,689 Abusively Dr. Weymouth MA,thrilled@hotmail.com,583-1943,no,a friend,Randall Moody,261-5238
Moody,Jeremy,34,male,411 Georgia Ln. Braintree MA,admittance@gmail.com,502-7359,yes,church,Alex Clarke,638-9311
Owen,Bertie,61,female,752 Tightropes Dr. Norwell MA,pliability@gmail.com,479-7530,yes,school,,610-5598
Bray,Rhonda,35,female,78 Egrets St. Hanover MA,remunerations@gmail.com,420-6232,no,,Celia Alexander,423-2627
Poole,Mollie,98,female,867 Confirmatory Dr. Norwell MA,sheratons@gmail.com,894-4320,yes,church,,842-9655
Lucas,Lara,68,female,746 Murray Ln. Hanover MA,emusic@gmail.com,307-8529,no,came last year,Rachel Church,389-2769
Perez,Coleen,83,female,835 Gawains St. Hingham MA,kristies@hotmail.com,873-8027,yes,school,Victor Riddle,710-9561
Fleming,Pearlie,87,female,711 Baxters St. Hingham MA,queens@hotmail.com,148-6064,yes,,Beatrice Monroe,920-6565
Vega,Chad,81,male,984 Infantries St. Quincy MA,accretion@gmail.com,785-1588,no,,Aurora Prince,126-2060
Landry,Beatrice,80,female,107 Neutrinos St. Quincy MA,conceptualizations@hotmail.com,673-2306,yes,a friend,Mark Cameron,854-8515
Glover,Twila,58,female,976 Subterfuges Ln. Quincy MA,gait@gmail.com,380-9885,no,a friend,Esperanza Kirk,203-7968
Johnson,Leroy,41,male,938 Comprehensions Dr. Hingham MA,shush@gmail.com,578-7692,yes,school,Tammy Pena,
Crawford,Mildred,85,female,,widowers@hotmail.com,598-3444,yes,a friend,Bethany Bennett,926-2277
Roman,,10,female,480 Daughters Ln. Braintree MA,overrunning@hotmail.com,124-5788,no,a friend,,272-9174
Zimmerman,Alfred,9,male,594 Eileens Dr. Weymouth MA,libeling@hotmail.com,832-3652,no,a friend,Lewis Simpson,434-2366
Hardin,Janet,66,female,535 Chrysalides St. Quincy MA,nona@gmail.com,126-2759,yes,church,Jeannine Gaines,901-1048
Slater,Stacy,52,female,238 Alford Way Hingham MA,staler@hotmail.com,287-3392,yes,,Sidney Munoz,546-2746
Simon,Arnold,20,male,455 Nansen Way Weymouth MA,,916-5228,yes,,Virgie Sheppard,486-7068
Wilkinson,Guadalupe,77,female,961 Removers Pkwy. Braintree MA,festivitys@hotmail.com,285-5317,no,,Marion Branch,991-1530
Guthrie,Steve,60,male,241 Masticating Dr. Norwell MA,bumbled@gmail.com,914-3125,,a friend,Lena Contreras,884-8259
Holman,Norman,21,male,230 Restatements St. Quincy MA,remounts@hotmail.com,209-7014,yes,,Ross Page,508-5929
Lee,Earlene,31,female,429 Abducts Way Hanover MA,fathead@hotmail.com,899-8117,no,,Maggie Farley,154-5560
Albert,Jason,73,male,802 Unimpeachable St. Braintree MA,affinitys@hotmail.com,227-9859,yes,school,Larry Sharp,966-6330
Marks,,73,female,886 Taos Way Weymouth MA,misogynistic@hotmail.com,288-2772,yes,came last year,Gary Maldonado,780-5251
Maddox,Marshall,25,male,387 Diwalis St. Hingham MA,exchange@hotmail.com,340-4356,yes,came last year,Vanessa Dunlap,651-7921
Patterson,Earl,94,male,216 Massasoit Pkwy. Norwell MA,yvettes@gmail.com,647-5048,no,a friend,Merle Johnston,179-2464
Velez,Tyrone,40,male,672 Hermans St. Braintree MA,returned@hotmail.com,686-1369,,school,Lacy Ryan,559-2316
Koch,Howard,85,male,742 Sudra Dr. Braintree MA,renaming@gmail.com,528-7632,no,,Francis Foster,175-7118
Hinton,Rick,47,male,482 Luridness Dr. Quincy MA,mess@gmail.com,868-4307,no,church,Donna Coleman,441-6640
Booth,Jordan,57,male,34 Zingers Pkwy. Hingham MA,paulette@hotmail.com,123-7113,no,came last year,Kent Kirkland,597-1819
Foreman,Adam,21,male,883 Rockets Ln. Hanover MA,allergists@gmail.com,201-1344,no,came last year,Christian Harrington,
Harrison,Elena,91,female,959 Domiciles St. Quincy MA,mesmerisms@hotmail.com,106-8177,yes,church,Ray Hendricks,532-8080
Mcconnell,Floyd,0,male,754 Positioned St. Hingham MA,havens@gmail.com,760-8310,no,,Cecil Neal,909-9226
Haley,Rhoda,57,female,274 Indexs Way Norwell MA,bossier@hotmail.com,673-6712,yes,,,
Gomez,Gene,13,male,879 Mummies Dr. Hanover MA,leavening@gmail.com,971-5809,yes,came last year,Keith Horn,767-3335
Garner,Jan,87,female,953 Anterooms Pkwy. Braintree MA,goaltender@gmail.com,979-2518,yes,,Willard Cummings,654-5265
English,Darryl,93,male,0 Liquored Dr. Weymouth MA,neckerchiefs@hotmail.com,528-1497,yes,school,Dale Bender,464-8657
Wheeler,Marion,31,female,612 Stools Dr. Hingham MA,disguising@hotmail.com,643-5418,no,,Eric Cardenas,536-3402
Goff,Eric,36,male,163 Gazelles St. Weymouth MA,speeder@gmail.com,391-9990,yes,,Betsy Flowers,298-8870
Fox,George,20,male,586 Martinets St. Weymouth MA,rovers@gmail.com,419-5058,yes,church,,728-7766
Reese,John,79,male,492 Eurasia St. Quincy MA,easts@gmail.com,155-6575,no,came last year,Shane Sandoval,278-9875
Pruitt,Violet,96,female,,grumpiness@hotmail.com,471-6701,yes,,Barry Montgomery,525-3988
Bean,Eugenia,60,female,29 Remedying Dr. Weymouth MA,shoo@gmail.com,668-1141,no,a friend,Byron Garrison,530-8458
Kent,Alfredo,39,male,176 Polygons Ln. Weymouth MA,esqs@hotmail.com,846-1209,yes,a friend,Virgil Serrano,537-3936
Ware,,96,male,540 Zoroastrians Dr. Quincy MA,referential@hotmail.com,301-7879,yes,a friend,Zachary Douglas,261-2218
Stevenson,Timothy,18,male,194 Buyers Ln. Norwell MA,humbly@hotmail.com,423-1069,yes,came last year,Nichole Fuller,110-7295
Glass,Lesley,24,female,903 Faxing St. Quincy MA,hampering@hotmail.com,872-9825,yes,a friend,Barry Perry,480-7997
Singleton,Gabriel,95,,384 Sidestepped St. Hingham MA,nws@hotmail.com,373-1622,yes,,Harvey Leonard,312-8366
Roach,Lily,92,female,594 Christs St. Quincy MA,alleyways@gmail.com,218-8031,no,came last year,Alexander Cannon,
Berger,,11,female,82 Congas Ln. Norwell MA,biotechnologys@gmail.com,290-9202,yes,church,Jolene Ramsey,873-2901
Brennan,Tessa,60,female,290 Georgias St. Norwell MA,pollutions@hotmail.com,234-6357,yes,,Jamie Mayer,421-8734
Rowland,Sophie,97,female,627 Vodka St. Quincy MA,communions@hotmail.com,393-2371,no,,Gregory Campos,946-6227
Hicks,Earnestine,54,female,34 Teals Dr. Hingham MA,unspoken@gmail.com,615-5414,no,school,Victor Burks,509-8738
Graham,Ryan,25,male,493 Aphoristic St. Norwell MA,randell@hotmail.com,695-4692,yes,,Clifton Sexton,343-3842
Turner,Harold,68,male,798 Sticklebacks Pkwy. Norwell MA,cara@gmail.com,519-3334,yes,a friend,Jami Atkins,680-3970
Morgan,Odessa,0,female,992 Pursed St. Quincy MA,idahos@gmail.com,539-5074,,,Jaime Tyler,699-9451
Madden,Edna,45,female,935 Ermines St. Quincy MA,sprawl@hotmail.com,602-2043,yes,,Roxanne Norman,709-5583
Valenzuela,Lee,13,male,14 Grinds Way Hingham MA,banged@hotmail.com,695-8498,,a friend,Juan Case,
Dean,Rosetta,23,female,197 Reinterpretation Ln. Hingham MA,gibberishs@hotmail.com,806-4665,yes,,Larry Osborn,478-4206
Perry,Seth,19,male,791 Tocqueville St. Braintree MA,plagiarists@hotmail.com,467-2607,no,a friend,Earl Mueller,434-9549
Doyle,Rebecca,37,female,845 Sensed Dr. Norwell MA,inflammation@gmail.com,485-5702,yes,,Dianna Morgan,858-8106
Gillespie,Marion,69,male,629 Flatboats Dr. Norwell MA,corrosions@hotmail.com,136-2684,yes,a friend,,
Herrera,Geraldine,0,,569 Undemonstrative Ln. Norwell MA,helvetius@gmail.com,244-1861,no,church,Trina Roach,655-7317
Justice,Miranda,82,female,952 Elopements Dr. Hanover MA,doughy@hotmail.com,489-9917,yes,,Matilda Huffman,
Sandoval,Edwin,48,male,310 Eighty Ln. Weymouth MA,docket@gmail.com,559-9690,yes,church,Rodney Burks,153-7466
Mcknight,Johanna,28,female,,overrating@hotmail.com,364-7931,yes,a friend,Cathryn Ortega,901-7413
Jordan,Beatrice,34,female,950 Decedents Pkwy. Hanover MA,rod@gmail.com,912-5991,yes,came last year,Susie Grimes,875-4500
Ayers,Donna,2,female,391 Enforces Dr. Weymouth MA,specialists@gmail.com,119-1913,no,,Tracy Tyler,692-2697
Fields,,84,female,782 Paley Dr. Braintree MA,tycoons@gmail.com,222-3253,no,came last year,Luisa Bennett,278-9564
Summers,Warren,65,male,313 Superior St. Hingham MA,terabytes@gmail.com,343-3967,yes,church,Roy Banks,307-2728
Kelley,Jewell,44,female,176 Seaweed Pkwy. Quincy MA,rocknes@gmail.com,931-3425,no,school,Herman Calderon,723-9845
Dean,Laurel,3,female,637 Geographically St. Braintree MA,livens@gmail.com,329-2796,yes,a friend,Antonio Smith,279-9315
Phillips,Brad,45,male,627 Sams St. Hanover MA,incubators@gmail.com,294-3239,yes,church,Frieda Bradford,321-3495
Mccarthy,Juan,11,male,654 Officemax Way Quincy MA,gospels@gmail.com,450-9414,no,came last year,,421-3812
Warren,Ellen,99,female,785 Livias St. Norwell MA,cockades@gmail.com,732-9102,yes,a friend,Jeannette Gould,400-7006
Hernandez,Peter,36,male,886 Sightings St. Norwell MA,aurae@hotmail.com,815-2321,,came last year,Beatriz Garner,188-4308
Cooley,Neil,4,,828 Loopy Ln. Norwell MA,postage@gmail.com,508-6042,yes,,Mae Riddle,
Mendez,Floyd,56,male,39 Conked Pkwy. Braintree MA,translucent@hotmail.com,344-3585,yes,a friend,Kathryn Case,983-8526
Morse,Lacey,20,female,384 Uncontrollably Dr. Weymouth MA,cinders@gmail.com,719-9245,no,a friend,Alfred Delgado,908-9216
Anthony,Liliana,61,female,759 Tracts Way Quincy MA,venice@hotmail.com,496-1937,no,a friend,Imelda Dixon,
Walton,Malinda,99,female,272 Sellerss Dr. Weymouth MA,fulcrum@hotmail.com,570-6066,no,,Matthew Garcia,328-4033
Valentine,Beverly,49,female,364 Paderewski Pkwy. Quincy MA,bruisers@gmail.com,449-4101,yes,came last year,Daryl Patel,428-5744
Kelly,Ilene,92,female,293 Anorexics St. Braintree MA,celebrity@hotmail.com,159-9716,yes,church,Donald Foster,864-8349
Lester,Cristina,36,female,61 Possessive St. Quincy MA,burmeses@hotmail.com,446-5943,yes,,,436-3685
Vargas,Coleen,93,female,952 Trussed Ln. Braintree MA,semiprofessionals@gmail.com,245-2019,yes,a friend,Mabel Osborn,578-1136
Wyatt,Tony,60,male,917 Novelists Ln. Norwell MA,falsehoods@gmail.com,658-3130,yes,school,Craig Andrews,604-7701
Hood,Ella,47,female,183 Excretes Ln. Quincy MA,toiled@gmail.com,,no,,Summer Holt,241-4405
Pratt,Mayra,90,female,503 Charbroil Pkwy. Quincy MA,priestliest@gmail.com,241-6323,no,came last year,Jeremy Singleton,176-6040
Burgess,Rhonda,73,,620 Blasphemes St. Braintree MA,whose@gmail.com,419-4203,yes,,,477-6590
Haney,Freddie,40,male,447 Dins Dr. Hanover MA,,,yes,church,Lacy Ramsey,137-5458
Callahan,Flossie,82,female,328 Baleens St. Hingham MA,ricotta@gmail.com,916-5257,yes,,Shelia Stanton,876-1571
Mcintosh,Cory,80,male,97 Wrinkles Ln. Quincy MA,rumbled@hotmail.com,649-3820,yes,a friend,Ian Montoya,261-8837
Leach,,33,female,442 Exclusive Way Quincy MA,luminarys@gmail.com,623-9346,no,,Gordon Chapman,886-2314
Gonzalez,Andy,81,male,612 Paars Ln. Hanover MA,amalgam@gmail.com,436-9425,yes,,Robyn Baker,559-8572
Valentine,Lily,67,female,612 Fastens St. Hanover MA,manfully@gmail.com,216-8093,no,school,Larry Garner,357-8687
Barker,Casey,83,female,532 Gaiters St. Hanover MA,pelvic@hotmail.com,703-7667,no,,Graciela Wood,419-6130
Eaton,Benjamin,61,male,468 Hootch St. Norwell MA,mazarin@gmail.com,840-5875,,school,Stephen Matthews,466-2202
Marquez,Beth,26,female,626 Graphites St. Quincy MA,dooms@hotmail.com,642-5361,yes,,Leslie Ford,455-1599
Clemons,Eula,35,female,352 Counterattacks Ln. Quincy MA,,487-5368,yes,came last year,Vivian Booth,689-1970
Berg,Charlie,84,male,446 Badmouths St. Braintree MA,unsubstantial@gmail.com,173-6303,yes,,Leon Barton,913-7288
Mcknight,Hester,17,female,265 Swimmings St. Hingham MA,maples@gmail.com,798-8481,no,church,Sean Carson,854-2032
Obrien,Clifford,91,male,260 Fuelling St. Quincy MA,familiarity@gmail.com,269-7192,yes,,Oscar Thomas,
Trevino,Adela,2,female,691 Preserves St. Braintree MA,economical@gmail.com,589-9521,yes,,Bob Morton,170-6862
Levine,Rafael,22,male,729 Scuppered St. Weymouth MA,inez@hotmail.com,863-1933,yes,,Brett Smith,
Soto,Tommy,57,male,480 Skyrockets St. Weymouth MA,moseley@gmail.com,194-7799,no,school,Mathew Beasley,204-1741
Flowers,Lucia,79,female,624 Epoch Pkwy. Quincy MA,malls@hotmail.com,394-9520,yes,a friend,Eileen Todd,750-9988
Jenkins,Wayne,98,,252 Kingdoms Way Quincy MA,bloods@gmail.com,350-1724,no,church,Roberto Langley,441-7567
Combs,Kari,36,female,89 Flinched Ln. Quincy MA,silvias@gmail.com,,yes,,Angeline Burt,180-6979
Fulton,Michelle,51,female,451 Staged Ln. Norwell MA,terraced@hotmail.com,815-6284,no,a friend,Tamika Quinn,
Cash,Clarence,52,male,856 Escalators St. Quincy MA,inventorys@gmail.com,342-2655,yes,,Chasity Mullins,645-9575
Maynard,Ricky,69,male,89 Ninetys Pkwy. Braintree MA,cheeks@hotmail.com,366-5087,no,came last year,Jeremy Navarro,566-4703
Flores,,35,male,851 Acruxs Ln. Quincy MA,casios@gmail.com,778-7913,yes,church,Marc Potts,572-3733
Christensen,Susanne,95,female,412 Paterson St. Hingham MA,aquavits@gmail.com,917-1642,no,,Chester Guy,325-9472
Hendrix,Clifton,84,male,574 Epidemiology Way Norwell MA,tricky@hotmail.com,847-5929,,,Jonathan Frazier,911-8541
Baker,Joe,32,,234 Infatuating Pkwy. Norwell MA,luciuss@hotmail.com,218-5584,,school,Maggie Leonard,438-9812
Battle,Angelique,35,female,88 Bogging St. Hanover MA,doughnut@hotmail.com,367-2599,yes,school,Julia Olson,482-1798
Little,Katina,27,female,188 Mouthfuls Dr. Hingham MA,stolypin@hotmail.com,257-3111,no,church,Adrian Knox,630-2361
Irwin,,78,female,554 Zips St. Norwell MA,winners@gmail.com,424-9971,yes,,Morgan Snider,883-3409
Conway,,17,,866 Placers St. Quincy MA,steepnesss@gmail.com,333-8182,no,,Vincent Gross,159-3445
Wall,Bryan,81,male,,clipping@gmail.com,264-4784,no,church,,385-5952
Hester,Shelby,75,female,522 Misjudgements Ln. Braintree MA,austria@hotmail.com,112-3437,no,came last year,Nathan Sargent,660-9234
Scott,Dixie,51,female,623 Dostoevsky Ln. Quincy MA,ramada@gmail.com,350-7987,yes,church,Eugene Small,630-4412
Byers,Roger,7,male,913 Frittered St. Braintree MA,shiftiest@gmail.com,379-8099,,,Susie Lynn,356-7145
,Brett,60,male,54 Gladioluss Pkwy. Norwell MA,routes@gmail.com,542-7433,no,a friend,Charles Lott,611-1341
Stevenson,Wilda,47,female,798 Uncle Dr. Hanover MA,hostilely@gmail.com,196-1823,no,,Shauna Villarreal,577-8331
Padilla,Frederick,76,male,833 Phalluses St. Braintree MA,prevailing@gmail.com,232-1951,no,a friend,Inez Downs,867-1111
Cantu,Bridgett,49,female,171 Invalidates St. Hingham MA,,634-5289,no,,Jaime Woodward,159-7780
Sherman,Clifford,80,male,364 Politics St. Quincy MA,defoliants@hotmail.com,215-4795,yes,,Rick Vinson,997-7498
Forbes,Edward,77,male,595 Detriments Ln. Norwell MA,precedent@gmail.com,326-6072,yes,,Michael Cook,193-9622
Weber,Troy,11,,724 Dislike Pkwy. Quincy MA,turgenev@hotmail.com,641-1011,yes,came last year,Leonard Forbes,389-3141
Mccray,Sara,45,female,606 Distributions Pkwy. Weymouth MA,assorting@gmail.com,786-7494,yes,came last year,Katie Lane,801-2480
Mcneil,,5,,38 Favorably Ln. Norwell MA,watchmans@gmail.com,210-6365,no,,Jeffrey Fuller,971-2097
Ayers,Haley,1,female,298 Lesleys Dr. Braintree MA,janiss@gmail.com,157-8726,no,church,Thomas Forbes,615-4998
Roberson,Karl,18,male,89 Carapace Pkwy. Hanover MA,roderick@hotmail.com,279-9228,no,a friend,Aline Bean,571-4509
Pena,Lorrie,13,female,633 Busybody St. Hanover MA,developments@gmail.com,251-8542,yes,came last year,Tracy Wade,
Tyler,Pearl,85,female,145 Plasma Dr. Hanover MA,interconnection@gmail.com,,no,a friend,Gracie Moreno,579-3956
Kaufman,Virgil,0,male,884 Octagonal Ln. Hingham MA,campaigning@hotmail.com,,no,,Randall Phillips,599-1691
Mcguire,Ethel,33,female,495 Poppycocks Dr. Braintree MA,its@gmail.com,599-9829,no,,Jillian Dodson,571-9854
Herman,Reginald,31,male,,,535-2067,no,church,Tommy Whitney,851-2088
Davis,Donald,75,male,131 Pretexts St. Hingham MA,fryers@hotmail.com,630-5213,no,a friend,Brian Roy,257-6207
Rowland,Daisy,31,female,834 Seamans Ln. Weymouth MA,ravaged@gmail.com,128-4576,no,,Milton Patton,545-4199
Palmer,Mallory,4,female,558 Elliot Pkwy. Hingham MA,clemenceau@gmail.com,300-4439,yes,a friend,Marisa Burgess,741-3411
Hull,Janette,10,female,59 Quoited Ln. Hanover MA,gentled@hotmail.com,401-9404,yes,a friend,Ethel Hudson,497-6086
Mcdonald,Jon,46,male,965 Joggers Way Norwell MA,tans@gmail.com,431-8457,yes,came last year,Cory Odonnell,924-4537
Snow,Julio,50,male,398 Terminates St. Braintree MA,mack@hotmail.com,376-2487,no,school,Yvonne Sandoval,234-6538
Joyce,Clinton,1,male,805 Sphinxes St. Braintree MA,coping@gmail.com,,no,church,Wesley Copeland,874-5725
Bryant,Amanda,42,female,195 Replies St. Weymouth MA,juncos@hotmail.com,438-5448,yes,came last year,Lori Jones,
Kim,Bernard,52,male,742 Purdue Dr. Hingham MA,sock@hotmail.com,830-1012,yes,school,Anne Best,617-2584
Barber,Sam,18,male,851 Transfigurations Pkwy. Quincy MA,sureties@gmail.com,326-1563,yes,school,,515-3898
Hampton,,63,female,,distills@gmail.com,479-6811,yes,,John Phelps,273-5815
